country,2007
Afghanistan,14k
Angola,10.2k
Albania,63
United Arab Emirates,138
Argentina,2620
Armenia,271
Australia,259
Austria,73
Azerbaijan,1300
Burundi,3010
Belgium,65
Benin,3900
Burkina Faso,7430
Bangladesh,29.9k
Bulgaria,102
Bahrain,30
Bahamas,7
Bosnia and Herzegovina,103
Belarus,98
Belize,22
Bolivia,2200
Brazil,10.7k
Barbados,10
Brunei,6
Bhutan,164
Botswana,312
Central African Republic,2190
Canada,485
Switzerland,73
Chile,434
China,53.4k
Cote d'Ivoire,9340
Cameroon,7370
"Congo, Dem. Rep.",53.6k
"Congo, Rep.",1690
Colombia,3370
Comoros,361
Cape Verde,82
Costa Rica,164
Cuba,62
Cyprus,8
Czech Republic,37
Germany,798
Djibouti,247
Denmark,84
Dominican Republic,1800
Algeria,6490
Ecuador,1290
Egypt,14.3k
Eritrea,1080
Spain,271
Estonia,9
Ethiopia,27.9k
Finland,32
Fiji,64
France,299
"Micronesia, Fed. Sts.",18
Gabon,446
United Kingdom,1260
Georgia,420
Ghana,6490
Guinea,4240
Gambia,692
Guinea-Bissau,923
Equatorial Guinea,349
Greece,124
Grenada,11
Guatemala,2670
Guyana,119
Honduras,1230
Croatia,37
Haiti,2070
Hungary,129
Indonesia,32.6k
India,241k
Ireland,44
Iran,11.7k
Iraq,9340
Iceland,1
Israel,97
Italy,441
Jamaica,188
Jordan,1040
Japan,225
Kazakhstan,0
Kenya,14.1k
Kyrgyz Republic,842
Cambodia,3490
South Korea,445
Kuwait,117
Lao,861
Lebanon,249
Liberia,2020
Libya,685
St. Lucia,21
Sri Lanka,1290
Lesotho,722
Lithuania,20
Luxembourg,2
Latvia,12
Morocco,4760
Moldova,32
Madagascar,7900
Maldives,40
Mexico,5260
North Macedonia,90
Mali,8250
Malta,3
Myanmar,16.9k
Montenegro,15
Mongolia,275
Mozambique,10.8k
Mauritania,1530
Mauritius,56
Malawi,5540
Malaysia,690
Namibia,430
Niger,8370
Nigeria,82.5k
Nicaragua,754
Netherlands,125
Norway,21
Nepal,6050
New Zealand,80
Oman,213
Pakistan,75.8k
Panama,197
Peru,3210
Philippines,13.3k
Papua New Guinea,1560
Poland,661
North Korea,3780
Portugal,71
Paraguay,961
Qatar,27
Romania,321
Russia,1730
Rwanda,3670
Saudi Arabia,3730
Sudan,24.5k
Senegal,4950
Singapore,21
Solomon Islands,96
Sierra Leone,3200
El Salvador,388
Somalia,6050
Serbia,311
Sao Tome and Principe,60
Suriname,49
Slovak Republic,90
Slovenia,12
Sweden,33
Eswatini,238
Syria,2330
Chad,5590
Togo,2210
Thailand,4030
Tajikistan,1750
Turkmenistan,931
Tonga,10
Trinidad and Tobago,148
Tunisia,1010
Turkey,8500
Tanzania,16.7k
Uganda,13.5k
Ukraine,676
Uruguay,124
United States,8420
Uzbekistan,4570
St. Vincent and the Grenadines,8
Venezuela,2360
Vietnam,5380
Vanuatu,43
Samoa,20
Yemen,9340
South Africa,8690
Zambia,5590
Zimbabwe,4010
